지역,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
6개광역시,매수우위지수,72.91099001,98.90521871,102.1188357,83.41958111,86.0028021,80.37495637,75.57581963,77.44229932,85.81609112,87.53152739,100.8578631,92.95997611,88.45144871,67.11753455,55.46469407,42.561371,40.758581,38.719239,37.360838,30.434343,26.09623,22.223775,17.843372,15.155963,11.804786,11.53538122,10.77237112,10.1051961,12.97019967,13.56241067,14.00803327,16.77781085,19.21729402,22.13257121,23.28124058,25.41470377,21.98552013,18.85868616,14.69256175,16.5734119,13.84535896,15.4743402,17.10250191,17.77034581,18.98936223,22.18777977,24.37845115,26.05958989,22.21229246,21.19075964,19.33281226,18.80127018,16.0772355,18.09132918,18.05458384,18.63014828,23.92687601,23.57926345,23.63995589,23.03100148,25.48615481
5개광역시,매수자많음,13.9073811,33.390523,27.84359366,10.74743674,8.578587447,8.423808684,6.383697339,8.517760891,11.26915838,13.73229642,17.58649464,15.77728083,12.19972925,6.037193018,4.128862921,2.390761,2.335495,1.916948,2.705891,2.405205,1.531112,2.038785,0.763903,0.857337,0.857304,1.880378106,1.451000753,1.04732044,2.05136772,1.72491547,1.52384777,1.88350401,1.94516798,1.95344477,1.98214673,2.53008236,1.56831761,1.29147933,1.12260102,1.82860532,1.28960241,1.26139478,1.56340212,1.83395353,1.38862629,1.79605263,2.12091159,2.24818187,1.95894965,1.89523722,1.72777007,1.95429167,1.25523955,1.55414273,2.01443626,1.82601057,3.02895535,2.32073207,2.05867214,2.90623964,3.62340736
5개광역시,비슷함,48.59328193,39.69175223,50.71259582,58.34249711,62.4482571,53.63223906,52.56513761,48.82698812,54.05115561,55.33609471,55.9272341,53.79400482,57.68711957,51.60092514,46.80093352,38.051459,35.731932,34.42247,32.042049,26.698003,23.402916,19.223473,15.335033,12.164533,10.416981,7.90825164,6.319552114,7.34154781,7.9774196,8.50307184,10.08286679,10.78502043,14.6261348,17.3493121,17.44478409,17.74977877,17.36020934,14.34027068,10.7519688,10.39480304,10.13507907,10.21452493,11.80317462,10.95903822,12.77746328,12.69466114,15.11796522,16.7909631,14.19904964,14.22655942,13.67824897,14.04367114,11.95809473,12.87282694,12.18795921,12.67424288,15.28882546,17.13005192,16.85487531,15.68579661,16.82248746
5개광역시,매도자많음,37.49933697,26.91772478,21.44381052,30.91006615,28.97315545,37.94395226,41.05116505,42.65525099,34.679686,30.93160887,26.48627125,30.42871435,30.11315117,42.36188184,49.07020356,59.55778,61.932572,63.660582,65.25206,70.896792,75.065973,78.737741,83.901064,86.978131,88.725715,90.21137025,92.22944713,91.61113175,89.97121268,89.77201269,88.39328544,87.33147556,83.42869722,80.69724313,80.57306918,79.72013887,81.07147305,84.36824999,88.12543018,87.77659164,88.57531852,88.52408029,86.63342326,87.20700824,85.83391043,85.50928623,82.76112318,80.96085503,83.8420007,83.87820337,84.59398097,84.0020372,86.78666572,85.57303033,85.79760453,85.49974654,81.6822192,80.54921601,81.08645255,81.40796375,79.55410518
5개광역시,매수우위지수,76.40804413,106.4727982,106.3997831,79.83737059,79.605432,70.47985642,65.33253229,65.8625099,76.58947238,82.80068755,91.10022339,85.34856648,82.08657808,63.67531118,55.05865936,42.83298,40.402923,38.256366,37.453831,31.508413,26.465139,23.301044,16.86284,13.879206,12.131589,11.66900785,9.221553621,9.43618869,12.08015504,11.95290277,13.13056233,14.55202845,18.51647076,21.25620163,21.40907755,22.8099435,20.49684455,16.92322933,12.99717084,14.05201368,12.71428388,12.7373145,14.92997885,14.62694529,15.55471586,16.2867664,19.35978841,21.28732684,18.11694895,18.01703385,17.1337891,17.95225447,14.46857383,15.9811124,16.21683173,16.32626403,21.34673615,21.77151607,20.9722196,21.49827588,24.06930217
기타지방,매수자많음,9.996878831,22.41766909,28.89365597,16.3166908,17.85601359,18.03540957,17.56873982,15.35233643,20.6027287,22.05193934,33.17207232,31.6895107,27.37296504,15.76336418,9.641309452,5.289559,6.791411,9.231422,10.234128,7.997133,9.093127,5.243196,2.781342,2.142933,1.211446,3.677002126,4.304296395,3.01556073,3.77373653,4.07901956,3.2997723,2.90174909,4.22016898,2.34057957,3.70216142,3.41760621,2.65450614,2.51314793,1.94646568,2.64574768,2.69017089,3.52804993,3.79494378,2.42848211,2.41404449,3.16144007,2.65347021,4.02014656,4.09426963,3.70468107,2.69324568,2.77044733,3.30769267,3.74426981,4.31864427,3.81650224,3.32700303,2.39554778,3.16252629,4.50487443,4.90553779
기타지방,비슷함,37.02967453,36.72958807,39.25217768,48.01047367,51.56920709,49.14067467,50.94218227,50.13495236,50.55293499,54.82740672,48.40356765,50.26843811,55.1305907,58.72171592,55.70675069,52.509965,47.907587,47.681945,47.646629,47.447287,45.077212,39.655146,35.541867,29.57327,28.52918,18.68978037,16.03816995,19.90103233,21.23646968,23.44350299,20.72493452,22.51718736,24.10488818,26.24850403,26.78660959,27.55311236,25.13423977,22.0555917,17.75503146,20.88055843,18.80328122,19.55023666,18.34227267,19.48998574,20.79267373,22.81398742,24.59119691,24.72936542,24.43073129,22.50014409,21.16434395,21.60280387,20.43723226,22.8509716,22.28728997,24.46152211,26.41679508,24.79398384,24.47156692,23.23723436,23.05380114
기타지방,매도자많음,52.97344664,40.85274285,31.85416635,35.67283553,30.57477932,32.82391576,31.48907791,34.51271121,28.84433632,23.12065394,18.42436003,18.04205119,17.49644427,25.5149199,34.65193986,42.200476,45.301003,43.086633,42.119243,44.555581,45.829661,55.101658,61.676791,68.283798,70.259373,77.6332175,79.65753365,77.08340694,74.98979379,72.47747746,75.97529318,74.58106354,71.67494283,71.4109164,69.51122899,69.02928143,72.21125409,75.43126037,80.29850286,76.47369389,78.50654789,76.92171341,77.86278355,78.08153215,76.79328178,74.02457251,72.75533288,71.25048803,71.47499908,73.79517484,76.14241037,75.62674879,76.25507506,73.40475859,73.39406576,71.72197565,70.25620189,72.81046839,72.3659068,72.25789121,72.04066107
기타지방,매수우위지수,57.02343219,81.56492624,97.03948962,80.64385527,87.28123426,85.21149381,86.07966191,80.83962522,91.75839238,98.9312854,114.7477123,113.6474595,109.8765208,90.24844428,74.98936959,63.089084,61.490408,66.14479,68.114885,63.441552,63.263466,50.141537,41.10455,33.859135,30.952073,26.04378462,24.64676274,25.93215379,28.78394274,31.6015421,27.32447911,28.32068555,32.54522615,30.92966318,34.19093243,34.38832478,30.44325204,27.08188756,21.64796282,26.17205378,24.183623,26.60633652,25.93216023,24.34694996,25.6207627,29.13686756,29.89813733,32.76965853,32.61927055,29.90950623,26.5508353,27.14369854,27.05261761,30.33951123,30.92457851,32.09452659,33.07080114,29.58507939,30.79661949,32.24698322,32.86487673
부산,매수자많음,11.03370516,34.24951563,22.86925403,6.174616552,5.574888377,5.299015091,6.321086972,10.22140892,15.10229904,14.92093099,22.18020228,16.88067382,12.48209926,5.208252222,3.493442452,2.099478,3.605741,2.699168,2.852805,2.030249,1.333818,2.831504,1.216974,1.313073,0.367408,1.927879241,1.729926488,1.35777288,1.10809594,1.45731579,1.5489842,1.69605496,1.61091602,1.86400667,1.0379561,1.90070611,1.362449,1.42011544,0.70536386,1.78000006,1.70101879,0.96564774,1.49216133,1.70044152,0.89570345,2.49334613,1.73326923,0.8456947,1.73315389,2.1273073,1.13913062,1.57647536,0.77957757,0.75751167,1.40662434,0.98311412,2.75162981,1.78036996,1.88424747,2.01830665,3.20001449
