지역명,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
충남,85.19406,85.60272,86.501041,87.069675,87.640208,88.487461,89.704999,90.405898,91.597364,92.564363,93.910054,95.665374,96.935826,99.129367,99.729648,100,100.3716377,100.5844633,100.8182385,101.1667599,101.2859734,101.3587414,101.4506318,101.3491362,100.8747227,100.3558982,99.69411005,98.34023179,97.46331434,96.80427326,96.11693537,95.62872311,95.31662765,95.0658098,94.98162817,94.95153765,94.93174577,94.85322249,94.66802424,94.51149326,94.4320961,94.38131926,94.24800367,94.15523878,94.07504983,94.05793997,94.00931135,93.98528307,93.93471143,93.87187986,93.72972633,93.53179534,93.27463039,92.96127301,92.70968246,92.55882789,92.43923679,92.39272273,92.36074056,92.26722544,92.19415673
천안시,85.254516,85.740529,87.305797,87.956655,88.291762,88.909717,89.879666,90.447872,91.481511,92.51154,93.756118,96.016324,97.1127,99.339889,99.823832,100,100.4286167,100.6366586,100.8882483,101.1823426,101.1743858,101.1444476,101.1186518,100.9984939,100.3604415,99.68373194,98.62695145,96.65678614,95.76845321,95.05099048,94.476442,94.07127921,93.75928707,93.64958771,93.59380231,93.69563295,93.76212075,93.85738566,93.83169372,93.67971087,93.64370567,93.67475004,93.75733119,93.85865954,93.9260486,93.96541824,93.93704825,93.89340237,93.77955958,93.66121086,93.52783648,93.16705174,92.77142181,92.33669846,92.02676258,91.90406592,91.77518446,91.66062102,91.60442505,91.47923467,91.37686922
천안시 동남구,86.626099,87.217873,88.292315,88.278455,88.378411,88.63632,90.118534,91.275895,92.186209,93.472165,94.200397,96.357677,97.122106,99.766736,100.036093,100,100.1218569,100.0530937,100.2044312,100.872645,100.9528301,101.0064295,101.0064295,100.8608857,100.4017485,99.96760281,99.07139809,97.47409571,96.80170247,96.01171281,95.4741376,95.11682876,94.70665712,94.51725638,94.32270064,94.3026894,94.2648304,94.22227183,94.11477011,94.07857747,94.03234453,94.0819387,94.24083018,94.37262564,94.60210019,94.66786732,94.58358522,94.54694322,94.36105072,94.22677047,94.08367323,93.75150292,93.5110713,92.84748362,92.46004986,92.38367899,92.32642321,92.24180132,92.19778234,92.09414316,92.00631932
천안시 서북구,84.400513,84.820674,86.69155,87.756289,88.237811,89.079946,89.730938,89.932312,91.042738,91.913415,93.479492,95.803783,97.106843,99.074116,99.69167,100,100.6196179,101.0000099,101.3140208,101.375173,101.3123354,101.2303832,101.1885259,101.0841744,100.3347221,99.5087971,98.35707788,96.16725554,95.1523713,94.47732328,93.88116969,93.44828506,93.1949169,93.13265729,93.15961154,93.33476767,93.46426864,93.64332431,93.6675266,93.44488741,93.41510782,93.43487859,93.47159032,93.55477701,93.5249844,93.54854667,93.5536641,93.50552728,93.43551855,93.32665752,93.19935042,92.82091558,92.32883294,92.04068213,91.78068211,91.62826139,91.45349883,91.31972929,91.25572536,91.11665919,91.00492846
공주시,79.356685,80.75693,81.699327,82.764128,83.365304,84.840709,86.957679,88.11977,90.52576,92.722864,93.919253,94.880032,96.511304,98.518016,99.251572,100,100.3667279,100.4669471,100.566413,100.8523157,101.432126,101.9847243,102.1106582,102.213379,101.6230248,100.7971539,100.2552767,99.67383276,99.20040655,98.05573308,97.19075739,96.95433883,96.91606019,96.29229433,96.29229433,96.26409564,96.14628838,96.06727425,95.88884591,95.74101043,95.71774115,95.59919004,95.64332533,95.13275464,94.88355511,94.65123129,94.42629336,94.27208912,94.11910032,93.99099799,93.91302611,93.7503065,93.72462318,93.56626351,93.48503428,93.49520922,93.43298351,93.6468488,93.82302373,94.15542655,94.24484217
보령시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.0958783,101.0459542,101.0281828,100.9920843,101.068955,100.8806455,100.7778723,100.8181229,101.1279653,101.2598479,101.3895016,101.4015146,101.4015146,101.5091953,102.2810808,102.4659093,103.0915262,103.3421787,103.5471643,104.5606975,105.3116098,105.6371518,106.1315064,106.3178434,106.640269,106.8602408,107.2121366,107.3891274,107.5248707,107.6012141,107.6176272,107.9770923,108.0946829,108.0935709,108.2571924,108.4048959
아산시,80.77121,81.167905,81.534939,82.295589,83.755987,85.401241,87.350353,88.487931,90.089254,91.23576,93.10782,94.975507,96.399451,99.188709,99.767868,100,100.4629802,100.6158514,100.7629944,101.1756015,101.4095773,101.5534111,101.8131679,101.7328108,101.5848476,101.0101901,100.4480263,98.89885947,97.96845909,97.3104848,96.25644159,95.54453788,95.19191725,94.96384554,94.87717217,94.55139108,94.39757794,94.13032444,93.62855066,93.30659651,93.15337119,92.93232451,92.47568834,92.36783471,92.10272589,91.94767169,91.83174906,91.76098012,91.673857,91.64872751,91.48069306,91.38378063,91.11563799,90.91356637,90.5950348,90.27133679,90.21142488,90.05423447,89.88702674,89.67953248,89.43939179
서산시,89.743228,89.743228,89.792093,89.801721,89.812553,90.04949,90.583281,90.893037,91.53816,92.072057,93.316911,94.249051,96.304826,97.984351,99.391325,100,100.1642156,100.5429027,101.429452,102.3053983,102.6104856,102.835902,103.2575755,103.4386809,103.4378813,103.3003904,102.8299001,102.3759883,101.7388869,101.1937391,100.7881263,100.2931854,100.0768535,99.46613154,99.27480923,99.21394892,99.24353096,99.12780922,98.80602644,98.63905513,98.34380418,98.08630774,97.95186548,97.64398513,97.53944431,97.37123066,97.2725658,97.17839242,97.24032726,97.14089029,96.97462741,97.05583139,97.0814383,96.85325402,96.70236026,96.53041933,96.38326851,96.31839888,96.28164593,96.16908199,96.19636298
논산시,92.546465,92.751806,92.883266,93.347058,93.347058,93.448019,94.316302,95.00819,96.035033,96.454334,97.23472,97.234601,97.756867,98.568891,99.299752,100,100.2806645,100.6665529,100.7306563,101.5175446,102.175931,102.5747812,103.326802,103.4670013,103.8598382,104.0747431,104.3624094,104.4018073,104.4586025,104.5996295,104.6145583,104.6145583,104.7992609,104.9919797,104.9938378,105.26639,105.654372,105.9963576,106.8003613,106.9492055,107.1362977,108.0105179,108.5141535,109.3233708,109.7675712,110.4676974,110.7119172,110.9601246,111.2063681,111.8502263,111.9330394,112.2503654,112.4304811,112.4694835,112.595234,112.9377178,113.018682,113.0517386,113.2108201,113.3794529,113.5771665
계룡시,80.127653,81.016812,81.984534,82.362514,82.424266,83.565822,86.286272,87.417239,89.434284,90.235256,91.74535,92.895062,95.659218,98.878858,99.676755,100,100.013273,100.2970562,100.2969498,99.96168924,99.76047618,99.63595162,98.95976856,98.08579187,95.9777757,95.19181408,94.17550514,91.39310147,89.2474404,88.36611329,87.19658497,85.68031428,85.18263219,84.7099903,84.52175671,84.5054376,84.47621603,84.4248236,84.36751337,84.3398181,84.05028118,84.01533038,83.98173561,83.26252705,82.98654626,83.18698914,83.72022542,83.85554887,84.0141097,83.9269042,83.78270407,83.60778726,83.32536948,83.31069939,83.24875694,83.20628011,83.03661355,83.10250745,83.20628631,83.25025972,83.38724581
