지역,구분,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
6개광역시,보통,16.99652878,24.16560783,24.51067764,12.77406129,14.29142327,14.85110302,9.681094839,10.4527492,10.88739077,7.982726707,11.55097194,9.111015449,7.00994428,3.721374058,2.36992299,3.116764,2.713172,2.824737,3.95703,3.465481,2.857774,1.721481,0.5684,0.752563,0.310804,0.969806348,0.643471996,1.50406853,5.02621205,6.18543645,6.34738408,6.72158584,8.65159856,7.99977981,9.4389466,13.35980374,10.48406027,5.80716881,3.28764692,4.20828622,6.03486817,8.78559089,8.7549025,6.52246934,9.09537258,10.77700313,11.08334076,12.95287309,12.06386301,7.38154784,4.44748995,4.71696691,6.44052575,12.02231966,10.0174654,8.9598113,13.41223112,10.07762394,8.78916334,11.23043016,13.75614331
6개광역시,한산함,81.26545281,69.07955625,72.79079175,85.83597945,83.96838324,82.26596756,89.17355441,88.03950312,87.82070743,91.07554249,87.3511955,89.80518004,92.20134453,96.04386773,97.54042811,96.726779,97.115778,97.079431,96.04297,96.534519,97.142226,98.278519,99.30165,99.19719,99.689196,98.93356767,99.356528,98.40542996,94.41940955,93.76562151,93.44738885,92.89880789,90.98877975,91.71777141,90.20817709,85.78354278,89.20531083,94.08012204,96.62608218,95.79171378,93.89046017,90.83596649,91.05752567,93.35407439,90.54729024,88.55197934,88.30598814,86.62854959,87.59609735,92.32029103,95.46753302,95.17500144,93.32475239,87.81133676,89.55783151,90.56157346,85.89856315,89.3795291,91.02851766,88.11516234,85.249766
6개광역시,매매거래지수,20.4725656,37.67527968,29.90773886,15.55397981,17.77181024,20.61696185,11.97179633,13.46824456,13.47119436,9.866188317,13.74663706,11.27862447,8.587366659,4.190890473,2.549220795,3.429678,3.055272,3.0164,3.95703,3.465481,2.857774,1.721481,0.828301,0.853057,0.310804,1.163058308,0.643471996,1.68507154,6.13496884,6.28332053,6.75783822,7.48079838,9.37084194,8.56467737,10.14469922,15.0731107,11.10531807,6.0325871,3.46018871,4.20828622,6.1842115,9.54247613,9.13004616,6.76938187,9.81004695,12.11903819,12.30468297,13.79002774,12.74394229,7.9778701,4.61744402,4.9330302,6.90996947,12.35500682,10.86687157,9.91704178,14.79064259,11.16331786,9.15380134,12.53924515,15.7443247
5개광역시,활발함,2.181098227,7.968808931,2.195853158,0.162780145,0.331947162,0.410188451,0.306478182,0.481116793,1.259535331,0.769010679,0.971084626,0.851943403,0.663112655,0.294606033,0.112503447,0.196343,0.214657,0.120262,0,0,0,0,0.101802,0.063798,0,0.122692313,0,0.11497678,0.36368947,0.06218376,0.14755289,0.40184746,0.39969345,0.18303266,0.31800929,0.7886018,0.34053132,0.14414348,0.11036677,0,0,0.42672749,0.13701054,0.07559425,0.11664605,0.32655874,0.43818809,0.26328034,0.34995193,0.31282635,0.10934765,0.13916453,0.30248539,0.15627817,0.35434068,0.49494555,0.64417937,0.59779994,0.17407784,0.67015573,1.28171865
5개광역시,보통,19.95337597,26.87482198,25.56453268,8.787034239,10.58653804,9.712339719,6.598081544,6.752852855,8.40411822,6.665174171,9.696081142,8.419429757,6.949707216,3.157287109,2.140187854,3.675262,2.554577,2.15833,3.916486,3.823177,3.07117,1.653657,0.615632,0.566186,0.282627,0.706256388,0.290116,1.36904217,4.45559361,5.35535135,5.13696103,6.43567363,7.48269196,7.15527257,8.66106859,12.25261398,9.6932413,5.49440764,3.1120308,4.26232413,5.43304214,7.80605388,7.17697672,5.44336419,7.30157756,7.94324353,8.44017392,10.76188169,11.62064084,7.64082353,4.80915675,4.77285846,5.69838881,10.96526193,9.10994339,7.6216123,11.32384963,10.18603319,9.41839121,13.12436307,15.21632804
5개광역시,한산함,77.8655258,65.15636908,72.23961416,91.05018562,89.0815148,89.87747183,93.09544027,92.76603035,90.33634645,92.56581515,89.33283423,90.72862684,92.38718013,96.54810686,97.7473087,96.128395,97.230766,97.721408,96.083514,96.176823,96.92883,98.346343,99.282566,99.370016,99.717373,99.1710513,99.709884,98.51598105,95.18071692,94.58246489,94.71548608,93.16247891,92.1176146,92.66169478,91.02092212,86.95878422,89.96622739,94.36144888,96.77760243,95.73767587,94.56695786,91.76721863,92.68601274,94.48104156,92.58177639,91.73019773,91.12163798,88.97483797,88.02940723,92.04635013,95.0814956,95.08797701,93.9991258,88.87845989,90.53571593,91.88344215,88.031971,89.21616687,90.40753095,86.2054812,83.50195331
5개광역시,매매거래지수,24.31557243,42.81243985,29.95623899,9.11259453,11.25043236,10.53271662,7.211037908,7.71508644,10.92318888,8.20319553,11.63825039,10.12331656,8.275932527,3.746499176,2.365194749,4.067948,2.98389,2.398855,3.916486,3.823177,3.07117,1.653657,0.819236,0.693782,0.282627,0.951641014,0.290116,1.59899573,5.18297254,5.47971886,5.43206682,7.23936855,8.28207885,7.52133788,9.29708716,13.82981757,10.37430393,5.78269459,3.33276434,4.26232413,5.43304214,8.65950886,7.45099779,5.59455269,7.53486966,8.596361,9.31655011,11.28844236,12.3205447,8.26647622,5.02785205,5.05118752,6.30335959,11.27781828,9.81862475,8.61150339,12.61220837,11.38163307,9.76654688,14.46467453,17.77976534
기타지방,활발함,1.178712265,3.516105027,5.337047457,1.566845581,1.822014704,2.318815498,1.791255835,1.707535885,2.076325599,1.580992159,2.957403185,2.446264479,1.687924498,0.531424679,0.259532661,0,0.336931,0.202606,0.425426,0.893286,0.541352,0.401477,0,0,0.07437,0,0.24269706,0,0.77153126,0.31653522,0.16954233,0,1.22583466,0.44647444,0.81787799,0.48928133,0.33373381,0.13202643,0,0.46051448,0.24979648,0.53772926,0.43079142,0.07456139,0.07431401,0.49428735,0.37052977,0.48970651,0.6653181,0.50038185,0.16162545,0,0.38441348,0.51534712,1.69288449,0.65870208,0.6592391,0.68092315,0.28693699,0.66546525,0.70310405
기타지방,보통,14.51609597,23.77541464,25.2520273,21.61766738,18.84246799,23.90465816,20.16456736,18.76333691,21.70343452,17.99656118,18.70619456,21.72959259,19.38274305,14.6073298,9.87187788,6.12276,7.370997,9.654228,10.252084,10.237869,10.341204,6.485511,3.674896,3.318564,3.005732,4.932665421,2.478935919,3.70853222,8.71682246,9.93525831,7.55408541,9.49081114,9.61866447,9.82611571,10.54849715,17.09281726,15.30902529,12.46704601,8.35477615,9.89279974,8.37343016,10.2923329,9.82712906,8.68204199,10.8895016,11.09389499,11.0828836,13.43631089,14.036724,11.14466323,8.77653668,8.01162087,11.80990243,14.81676245,13.27236561,11.87362374,12.53277206,10.72568809,10.38833749,13.96043689,15.79357538
기타지방,한산함,84.30519176,72.70848034,69.41092524,76.81548704,79.33551731,73.77652634,78.0441768,79.52912721,76.22023988,80.42244667,78.33640226,75.82414293,78.92933246,84.86124552,89.86858946,93.87724,92.292072,90.143166,89.322489,88.868845,89.117444,93.113012,96.325104,96.681436,96.919898,95.06733458,97.27836702,96.29146778,90.51164628,89.74820648,92.27637226,90.50918886,89.15550087,89.72740985,88.63362486,82.41790141,84.35724091,87.40092756,91.64522385,89.64668578,91.37677337,89.16993783,89.74207952,91.24339662,89.03618439,88.41181766,88.54658663,86.0739826,85.29795789,88.35495492,91.06183787,91.98837913,87.80568409,84.66789043,85.0347499,87.46767417,86.80798884,88.59338876,89.32472552,85.37409786,83.50332056
